ikey,logHenrycc,source
BSYVTEYKTMYBMK-UHFFFAOYSA-N,6.778151250383644,meta37-model
BVAKDOXCVSMKHE-UHFFFAOYSA-N,-2.2365720064370627,meta37-model
IXAVTTRPEXFVSX-UHFFFAOYSA-N,-2.528493501642788,GuthrieSolv-reconciled
ITQTTZVARXURQS-UHFFFAOYSA-N,3.4124550340805593,GuthrieSolv-reconciled
RFZHJHSNHYIRNE-UHFFFAOYSA-N,3.3147151226137264,GuthrieSolv-reconciled
NMWKWBPNKPGATC-UHFFFAOYSA-N,6.730680467950897,GuthrieSolv-reconciled
ASWVTGNCAZCNNR-UHFFFAOYSA-N,10.897627091290442,meta37-model
GZUXJHMPEANEGY-UHFFFAOYSA-N,0.5457836885557581,GuthrieSolv-reconciled
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,5.642362549821772,GuthrieSolv-reconciled
KXRPCFINVWWFHQ-UHFFFAOYSA-N,4.2377612238221465,GuthrieSolv-reconciled
VPRAQYXPZIFIOH-UHFFFAOYSA-N,8.47734917253366,GuthrieSolv-reconciled
PRBHEGAFLDMLAL-UHFFFAOYSA-N,-0.6777807052660807,meta37-model
WGVYCXYGPNNUQA-UHFFFAOYSA-N,1.505149978319906,meta37-model
XOKSLPVRUOBDEW-UHFFFAOYSA-N,-1.154901959985743,meta37-model
ZDXMLEQEMNLCQG-UHFFFAOYSA-N,16.30102999566398,meta37-model
NDSBDLSWTGLNQA-UHFFFAOYSA-N,4.778151250383644,meta37-model
MUDSDYNRBDKLGK-UHFFFAOYSA-N,4.505149978319906,meta37-model
ZQBFAOFFOQMSGJ-UHFFFAOYSA-N,0.146128035678238,meta37-model
SEGLCEQVOFDUPX-UHFFFAOYSA-N,5.778151250383644,meta37-model
FKERUJTUOYLBKB-UHFFFAOYSA-N,7.956914003281807,GuthrieSolv-reconciled
XYBSIYMGXVUVGY-UHFFFAOYSA-N,3.355221288766486,GuthrieSolv-reconciled
