ikey,dg_hyd,unit,process,note
CUAUDSWILJWDOD-UHFFFAOYSA-N,-6.027200598424597,M/atm,KGW,henry_cp
CUAUDSWILJWDOD-UHFFFAOYSA-N,-5.935824333368694,M/atm,KGW,henry_cp
CUAUDSWILJWDOD-UHFFFAOYSA-N,-5.743629262826136,M/atm,KGW,henry_cp
CUAUDSWILJWDOD-UHFFFAOYSA-N,-5.637716399803455,M/atm,KGW,henry_cp
CUAUDSWILJWDOD-UHFFFAOYSA-N,-5.230735950028118,M/atm,KGW,henry_cp
CUAUDSWILJWDOD-UHFFFAOYSA-N,-5.966918528343011,M/atm,KGW,henry_cp
CUAUDSWILJWDOD-UHFFFAOYSA-N,-5.871709288006132,M/atm,KGW,henry_cp
CUAUDSWILJWDOD-UHFFFAOYSA-N,-5.670414476129959,M/atm,KGW,henry_cp
CUAUDSWILJWDOD-UHFFFAOYSA-N,-5.56924624360167,M/atm,KGW,henry_cp
CUAUDSWILJWDOD-UHFFFAOYSA-N,-5.146440724283344,M/atm,KGW,henry_cp
GETTZEONDQJALK-UHFFFAOYSA-N,-0.25,kcal/mol,FEOH,energy
GETTZEONDQJALK-UHFFFAOYSA-N,-0.24556443038518255,log(M/M),KGW,ratio
GETTZEONDQJALK-UHFFFAOYSA-N,-0.24556443038518255,log(M/M),KWG,ratio
GETTZEONDQJALK-UHFFFAOYSA-N,-0.24556443038518255,log(M/M),KGW,ratio
GETTZEONDQJALK-UHFFFAOYSA-N,-0.24556443038518255,log(M/M),KGW,ratio
GETTZEONDQJALK-UHFFFAOYSA-N,-0.23356673280335932,Pa/mf,KWG,henry_px
GETTZEONDQJALK-UHFFFAOYSA-N,-1.623453734213151,log(M/M),KWG,ratio
YTZKOQUCBOVLHL-UHFFFAOYSA-N,-0.44,kcal/mol,DGS,energy
YTZKOQUCBOVLHL-UHFFFAOYSA-N,-0.44,kCal/mol,DGS,energy
YTZKOQUCBOVLHL-UHFFFAOYSA-N,-0.43738098000000003,kJ/mol,FEOH,energy
YTZKOQUCBOVLHL-UHFFFAOYSA-N,-0.43738098000000003,kJ/mol,FEOH,energy
YTZKOQUCBOVLHL-UHFFFAOYSA-N,-0.44,kcal/mol,FEOH,energy
YTZKOQUCBOVLHL-UHFFFAOYSA-N,-0.4365589873514356,log(M/M),KGW,ratio
YTZKOQUCBOVLHL-UHFFFAOYSA-N,-0.4365589873514356,log(M/M),KGW,ratio
YTZKOQUCBOVLHL-UHFFFAOYSA-N,-0.3683466455777738,log(M/M),KGW,ratio
YTZKOQUCBOVLHL-UHFFFAOYSA-N,-0.4365589873514356,log(M/M),KGW,ratio
YTZKOQUCBOVLHL-UHFFFAOYSA-N,-0.4645806972857383,M/M,KWG,ratio
YTZKOQUCBOVLHL-UHFFFAOYSA-N,-0.42079030452166793,M/M,KWG,ratio
YTZKOQUCBOVLHL-UHFFFAOYSA-N,-0.34986616952186916,M/M,KWG,ratio
YTZKOQUCBOVLHL-UHFFFAOYSA-N,-0.2133127606962185,M/M,KWG,ratio
YTZKOQUCBOVLHL-UHFFFAOYSA-N,-0.10915311623115347,M/M,KWG,ratio
YTZKOQUCBOVLHL-UHFFFAOYSA-N,-0.42985742546458955,kPa m3/mol,KWG,henry_pv
YTZKOQUCBOVLHL-UHFFFAOYSA-N,-0.4365589873514356,log(M/M),KWG,ratio
YTZKOQUCBOVLHL-UHFFFAOYSA-N,-0.36558871533068205,atm m3/mol,KWG,henry_pv
QHTJSSMHBLGUHV-UHFFFAOYSA-N,-0.18,kcal/mol,DGS,energy
QHTJSSMHBLGUHV-UHFFFAOYSA-N,-0.17686443999999998,kJ/mol,FEOH,energy
QHTJSSMHBLGUHV-UHFFFAOYSA-N,-0.17686443999999998,kJ/mol,FEOH,energy
YNWVFADWVLCOPU-MAUPQMMJSA-N,-5.527961274887551,atm m3/mol,KWG,henry_pv
YNWVFADWVLCOPU-MAUPQMMJSA-N,-5.227188337389951,atm m3/mol,KWG,henry_pv
RWGFKTVRMDUZSP-UHFFFAOYSA-N,-0.3,kCal/mol,DGS,energy
RWGFKTVRMDUZSP-UHFFFAOYSA-N,-0.3,kCal/mol,DGS,energy
RWGFKTVRMDUZSP-UHFFFAOYSA-N,-0.3,kcal/mol,DGS,energy
RWGFKTVRMDUZSP-UHFFFAOYSA-N,-0.31,kCal/mol,DGS,energy
RWGFKTVRMDUZSP-UHFFFAOYSA-N,-0.30114756,kJ/mol,FEOH,energy
RWGFKTVRMDUZSP-UHFFFAOYSA-N,-0.3,kcal/mol,FEOH,energy
RWGFKTVRMDUZSP-UHFFFAOYSA-N,-0.4638439240609003,log(M/M),KGW,ratio
RWGFKTVRMDUZSP-UHFFFAOYSA-N,-0.30013430380411193,log(M/M),KGW,ratio
RWGFKTVRMDUZSP-UHFFFAOYSA-N,-0.30013430380411193,log(M/M),KGW,ratio
RWGFKTVRMDUZSP-UHFFFAOYSA-N,-0.30013430380411193,log(M/M),KGW,ratio
RWGFKTVRMDUZSP-UHFFFAOYSA-N,-0.30013430380411193,log(M/M),KGW,ratio
RWGFKTVRMDUZSP-UHFFFAOYSA-N,-0.5333241442951729,M/M,KWG,ratio
RWGFKTVRMDUZSP-UHFFFAOYSA-N,-0.4662644875846772,M/M,KWG,ratio
RWGFKTVRMDUZSP-UHFFFAOYSA-N,-0.37567501636045286,M/M,KWG,ratio
RWGFKTVRMDUZSP-UHFFFAOYSA-N,-0.23445389738851696,M/M,KWG,ratio
RWGFKTVRMDUZSP-UHFFFAOYSA-N,-0.16364239427155045,M/M,KWG,ratio
RWGFKTVRMDUZSP-UHFFFAOYSA-N,-0.3059582277834394,log((Pa m3)/mol),KWG,henry_pv
RWGFKTVRMDUZSP-UHFFFAOYSA-N,-0.4471832554934334,Pa/mf,KWG,henry_px
RWGFKTVRMDUZSP-UHFFFAOYSA-N,-0.30586345601392295,(atm m3)/mol,KWG,henry_pv
RWGFKTVRMDUZSP-UHFFFAOYSA-N,-1.7466801674793115,kPa m3/mol,KWG,henry_pv
RWGFKTVRMDUZSP-UHFFFAOYSA-N,-0.30013430380411193,log(M/M),KWG,ratio
RWGFKTVRMDUZSP-UHFFFAOYSA-N,-0.30013430380411193,log(M/M),KWG,ratio
RWGFKTVRMDUZSP-UHFFFAOYSA-N,-0.44727448279635607,atm m3/mol,KWG,henry_pv
RWGFKTVRMDUZSP-UHFFFAOYSA-N,-0.30114756,kJ/mol,FEOH,energy
RWGFKTVRMDUZSP-UHFFFAOYSA-N,-0.450201455706168,log(M/M),KGW,ratio
RWGFKTVRMDUZSP-UHFFFAOYSA-N,-0.38177757253575306,kPa m3/mol,KWG,henry_pv
RWGFKTVRMDUZSP-UHFFFAOYSA-N,-0.30894032990519327,kPa m3/mol,KWG,henry_pv
RWGFKTVRMDUZSP-UHFFFAOYSA-N,-0.05812634654162344,kPa m3/mol,KWG,henry_pv
RWGFKTVRMDUZSP-UHFFFAOYSA-N,-0.450201455706168,log(M/M),KWG,ratio
ZJMWRROPUADPEA-UHFFFAOYSA-N,-0.450201455706168,log(M/M),KGW,ratio
ZJMWRROPUADPEA-UHFFFAOYSA-N,-0.195128505324903,Pa/mf,KWG,henry_px
ZJMWRROPUADPEA-UHFFFAOYSA-N,-0.1951414392847846,atm m3/mol,KWG,henry_pv
ZJMWRROPUADPEA-UHFFFAOYSA-N,-0.45,kcal/mol,DGS,energy
ZJMWRROPUADPEA-UHFFFAOYSA-N,-0.44933127999999994,kJ/mol,FEOH,energy
ZJMWRROPUADPEA-UHFFFAOYSA-N,-0.44933127999999994,kJ/mol,FEOH,energy
ZJMWRROPUADPEA-UHFFFAOYSA-N,-0.45,kcal/mol,FEOH,energy
ZJMWRROPUADPEA-UHFFFAOYSA-N,-0.450201455706168,log(M/M),KGW,ratio
ZJMWRROPUADPEA-UHFFFAOYSA-N,-0.450201455706168,log(M/M),KGW,ratio
ZJMWRROPUADPEA-UHFFFAOYSA-N,-0.3303794370234632,M/M,KWG,ratio
ZJMWRROPUADPEA-UHFFFAOYSA-N,-0.2819593830602358,M/M,KWG,ratio
ZJMWRROPUADPEA-UHFFFAOYSA-N,-0.20681229564376633,M/M,KWG,ratio
ZJMWRROPUADPEA-UHFFFAOYSA-N,-0.07161038312553542,M/M,KWG,ratio
ZJMWRROPUADPEA-UHFFFAOYSA-N,0.02660183196944155,M/M,KWG,ratio
ZJMWRROPUADPEA-UHFFFAOYSA-N,-0.3385254795659331,kPa m3/mol,KWG,henry_pv
ZJMWRROPUADPEA-UHFFFAOYSA-N,-0.450201455706168,log(M/M),KWG,ratio
ZJMWRROPUADPEA-UHFFFAOYSA-N,-0.341061708868309,log(M/M),KWG,ratio
OAYXUHPQHDHDDZ-UHFFFAOYSA-N,-8.75091906665586,atm cm3/mol,KWG,henry_pv
WMPPDTMATNBGJN-UHFFFAOYSA-N,-1.646520097024979,Pa/mf,KWG,henry_px
WMPPDTMATNBGJN-UHFFFAOYSA-N,-1.6462486154873115,atm m3/mol,KWG,henry_pv
WHKUVVPPKQRRBV-UHFFFAOYSA-N,-10.13701038007598,(Pa m3)/mol,KWG,henry_pv
KCXMKQUNVWSEMD-UHFFFAOYSA-N,-1.923588038017263,log(M/M),KGW,ratio
KCXMKQUNVWSEMD-UHFFFAOYSA-N,-14.53740946914128,MPa/mf,KWG,henry_px
KCXMKQUNVWSEMD-UHFFFAOYSA-N,-2.419812876876434,Pa/mf,KWG,henry_px
KCXMKQUNVWSEMD-UHFFFAOYSA-N,-2.419703409250796,atm m3/mol,KWG,henry_pv
KCXMKQUNVWSEMD-UHFFFAOYSA-N,-2.414716898787628,log(M/M),KGW,ratio
KCXMKQUNVWSEMD-UHFFFAOYSA-N,-2.414716898787628,log(M/M),KGW,ratio
KCXMKQUNVWSEMD-UHFFFAOYSA-N,-2.1691524684024457,log(M/M),KWG,ratio
KVZJLSYJROEPSQ-OCAPTIKFSA-N,1.5881413809521039,atm m3/mol,KWG,henry_pv
CAHQGWAXKLQREW-UHFFFAOYSA-N,-2.4401864076348105,atm m3/mol,KWG,henry_pv
BATOPAZDIZEVQF-MQQKCMAXSA-N,-4.64,kcal/mol,DGS,energy
BATOPAZDIZEVQF-MQQKCMAXSA-N,-4.63,kCal/mol,DGS,energy
BATOPAZDIZEVQF-MQQKCMAXSA-N,-4.63432634,kJ/mol,FEOH,energy
BATOPAZDIZEVQF-MQQKCMAXSA-N,-4.63432634,kJ/mol,FEOH,energy
BATOPAZDIZEVQF-MQQKCMAXSA-N,-4.634554582949261,M/atm,KGW,henry_cp
BATOPAZDIZEVQF-MQQKCMAXSA-N,-4.635628903958728,M/M,KWG,ratio
IHPKGUQCSIINRJ-UHFFFAOYSA-N,0.1748627024583478,(Pa m3)/mol,KWG,henry_pv
KFUSEUYYWQURPO-UHFFFAOYSA-N,-0.8071321497586602,kPa m3/mol,KWG,henry_pv
KFUSEUYYWQURPO-OWOJBTEDSA-N,-0.8,kcal/mol,DGS,energy
KFUSEUYYWQURPO-OWOJBTEDSA-N,-0.76,kcal/mol,DGS,energy
KFUSEUYYWQURPO-OWOJBTEDSA-N,-1.73,kcal/mol,DGS,energy
KFUSEUYYWQURPO-OWOJBTEDSA-N,-1.73,kCal/mol,DGS,energy
KFUSEUYYWQURPO-OWOJBTEDSA-N,-0.7648192,kJ/mol,FEOH,energy
KFUSEUYYWQURPO-OWOJBTEDSA-N,-0.76,kcal/mol,FEOH,energy
KFUSEUYYWQURPO-OWOJBTEDSA-N,-0.78,kcal/mol,FEOH,energy
KFUSEUYYWQURPO-OWOJBTEDSA-N,-0.7776206962197445,log(M/M),KGW,ratio
KFUSEUYYWQURPO-OWOJBTEDSA-N,-0.7776206962197445,log(M/M),KGW,ratio
KFUSEUYYWQURPO-OWOJBTEDSA-N,-0.7776206962197445,log(M/M),KGW,ratio
KFUSEUYYWQURPO-OWOJBTEDSA-N,-0.7776206962197445,log(M/M),KGW,ratio
KFUSEUYYWQURPO-OWOJBTEDSA-N,-0.7776206962197445,log(M/M),KGW,ratio
KFUSEUYYWQURPO-OWOJBTEDSA-N,-0.6641795769703728,M/atm,KGW,henry_cp
KFUSEUYYWQURPO-OWOJBTEDSA-N,5.182138383633408,mol/(m3 atm),KGW,henry_cp
KFUSEUYYWQURPO-OWOJBTEDSA-N,-0.563598396913369,atm m3/mol,KWG,henry_pv
KFUSEUYYWQURPO-OWOJBTEDSA-N,-0.7511662502050254,log(M/M),KWG,ratio
KFUSEUYYWQURPO-OWOJBTEDSA-N,-0.42923785726001457,log(M/M),KWG,ratio
KFUSEUYYWQURPO-OWOJBTEDSA-N,-0.5633746876537691,log(M/M),KWG,ratio
KFUSEUYYWQURPO-OWOJBTEDSA-N,-0.3219283929450109,log(M/M),KWG,ratio
KFUSEUYYWQURPO-OWOJBTEDSA-N,-0.5767883706931445,log(M/M),KWG,ratio
KFUSEUYYWQURPO-OWOJBTEDSA-N,-0.5365473215750183,log(M/M),KWG,ratio
KFUSEUYYWQURPO-OWOJBTEDSA-N,-0.9624899181823651,(atm m^3)/mol,KWG,henry_pv
KFUSEUYYWQURPO-OWOJBTEDSA-N,-0.7420258369860316,(atm m^3)/mol,KWG,henry_pv
KFUSEUYYWQURPO-OWOJBTEDSA-N,-0.5672251831064844,(atm m^3)/mol,KWG,henry_pv
KFUSEUYYWQURPO-OWOJBTEDSA-N,-0.36955617709699823,(atm m^3)/mol,KWG,henry_pv
KFUSEUYYWQURPO-OWOJBTEDSA-N,-0.528907470227678,kPa m3/mol,KWG,henry_pv
KFUSEUYYWQURPO-OWOJBTEDSA-N,-0.2917666714358707,kPa m3/mol,KWG,henry_pv
