mol,cs,logPa,T,dHv,logPa_25
CC1(C)C2CC1C(=C)[C@H](O)C2,C=C1C2CC(C[C@H]1O)C2(C)C,0.7512791039833423,283.15,,
CC1(C)C2CC1C(=C)[C@H](O)C2,C=C1C2CC(C[C@H]1O)C2(C)C,1.1613680022349748,293.15,,
CC1(C)C2CC1C(=C)[C@H](O)C2,C=C1C2CC(C[C@H]1O)C2(C)C,1.5092025223311027,303.15,,
CC1(C)C2CC1C(=C)[C@H](O)C2,C=C1C2CC(C[C@H]1O)C2(C)C,1.861534410859038,313.15,,
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-1.853871964321762,305.15,105999.99999999996,-2.27986831217478
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-1.7986028756795485,306.15,105999.99999999996,-2.2838656014109975
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-1.7423214251308154,307.15,105999.99999999996,-2.2864646171152496
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-1.6716203965612624,308.15,105999.99999999996,-2.274261900222966
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-1.6161846340195687,309.15,105999.99999999996,-2.276946003221217
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-1.563837352959244,310.15,105999.99999999996,-2.282343802174221
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-1.4989407377822486,311.15,105999.99999999996,-2.2748210950355348
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-1.4412914294668342,312.15,105999.99999999996,-2.274178090029691
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-1.3809066693732572,313.15,105999.99999999996,-2.2704355501972437
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-1.324221658325915,314.15,105999.99999999996,-2.2700321532021426
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-1.2724587429714436,315.15,105999.99999999996,-2.274193678401245
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-1.2204035087421754,316.15,105999.99999999996,-2.2777091005056973
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-1.1592667653881932,317.15,105999.99999999996,-2.271792575797693
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-1.1073489661226996,318.15,105999.99999999996,-2.2747478619476507
COc1cc2ccc(cc2cc1)C(C)C(=O)O,COc1ccc2cc(C(C)C(=O)O)ccc2c1,-2.3798639450262424,341.15,131700.00000000006,-5.288063474022176
COc1cc2ccc(cc2cc1)C(C)C(=O)O,COc1ccc2cc(C(C)C(=O)O)ccc2c1,-2.176525770829699,344.65,131700.00000000006,-5.289501895798997
COc1cc2ccc(cc2cc1)C(C)C(=O)O,COc1ccc2cc(C(C)C(=O)O)ccc2c1,-2.0163737128754655,348.15,131700.00000000006,-5.330009139054912
COc1cc2ccc(cc2cc1)C(C)C(=O)O,COc1ccc2cc(C(C)C(=O)O)ccc2c1,-1.8601209135987635,350.65,131700.00000000006,-5.314631914042494
COc1cc2ccc(cc2cc1)C(C)C(=O)O,COc1ccc2cc(C(C)C(=O)O)ccc2c1,-1.6575773191777938,354.15,131700.00000000006,-5.305972729199819
COc1cc2ccc(cc2cc1)C(C)C(=O)O,COc1ccc2cc(C(C)C(=O)O)ccc2c1,-1.4282911681913124,359.15,131700.00000000006,-5.347109076646657
COc1cc2ccc(cc2cc1)C(C)C(=O)O,COc1ccc2cc(C(C)C(=O)O)ccc2c1,-1.207608310501746,363.15,131700.00000000006,-5.337402681179668
COc1cc2ccc(cc2cc1)C(C)C(=O)O,COc1ccc2cc(C(C)C(=O)O)ccc2c1,-1.0195421077239,367.15,131700.00000000006,-5.355715877577197
COc1cc2ccc(cc2cc1)C(C)C(=O)O,COc1ccc2cc(C(C)C(=O)O)ccc2c1,-0.8153085691824012,370.65,131700.00000000006,-5.328410287124782
COc1cc2ccc(cc2cc1)C(C)C(=O)O,COc1ccc2cc(C(C)C(=O)O)ccc2c1,-0.7375489102695706,372.15,131700.00000000006,-5.325458132260904
COc1cc2ccc(cc2cc1)C(C)C(=O)O,COc1ccc2cc(C(C)C(=O)O)ccc2c1,-0.4424927980943421,378.65,131700.00000000006,-5.347718995203133
COc1cc2ccc(cc2cc1)C(C)C(=O)O,COc1ccc2cc(C(C)C(=O)O)ccc2c1,-0.208309350979882,383.65,131700.00000000006,-5.35030887371592
COc1cc2ccc(cc2cc1)C(C)C(=O)O,COc1ccc2cc(C(C)C(=O)O)ccc2c1,0.13033376849500614,391.15,131700.00000000006,-5.355475877270908
COc1cc2ccc(cc2cc1)C(C)C(=O)O,COc1ccc2cc(C(C)C(=O)O)ccc2c1,0.2355284469075489,394.15,131700.00000000006,-5.384141661829733
COc1cc2ccc(cc2cc1)C(C)C(=O)O,COc1ccc2cc(C(C)C(=O)O)ccc2c1,0.3783979009481377,397.15,131700.00000000006,-5.373110354814829
CC1(C)[C@H]2C[C@@H]1[C@H](CO)CC2,CC1(C)[C@@H]2CC[C@@H](CO)[C@H]1C2,-0.3372421683184259,283.15,,
CC1(C)[C@H]2C[C@@H]1[C@H](CO)CC2,CC1(C)[C@@H]2CC[C@@H](CO)[C@H]1C2,0.14921911265537988,293.15,,
CC1(C)[C@H]2C[C@@H]1[C@H](CO)CC2,CC1(C)[C@@H]2CC[C@@H](CO)[C@H]1C2,0.5705429398818975,303.15,,
CC1(C)[C@H]2C[C@@H]1[C@H](CO)CC2,CC1(C)[C@@H]2CC[C@@H](CO)[C@H]1C2,0.9571281976768131,313.15,,
CCC(O)C(O),CCC(O)CO,3.3010299956639813,372.553,71799.99999999999,0.7888996409948743
CCC(O)C(O),CCC(O)CO,3.4046455955946913,385.785,71799.99999999999,0.5472390017877506
CCC(O)C(O),CCC(O)CO,3.6020491338301954,391.65,71799.99999999999,0.5990633995688288
CCC(O)C(O),CCC(O)CO,3.7269715836828765,400.329,71799.99999999999,0.5163850084154
CCC(O)C(O),CCC(O)CO,3.9030302673948656,406.809,71799.99999999999,0.543218548869854
CCC(O)C(O),CCC(O)CO,4.028005651093023,412.031,71799.99999999999,0.5513540732128392
CCC(O)C(O),CCC(O)CO,4.124895304988493,417.436,71799.99999999999,0.5303880496764308
CCC(O)C(O),CCC(O)CO,4.221805317996549,421.914,71799.99999999999,0.5319427586199321
CCC(O)C(O),CCC(O)CO,4.299572666758495,427.794,71799.99999999999,0.4875320253301445
CCC(O)C(O),CCC(O)CO,4.398339375914612,433.696,71799.99999999999,0.4669950923397179
CCC(O)C(O),CCC(O)CO,4.493834322971856,439.619,71799.99999999999,0.445982383427836
CCC(O)C(O),CCC(O)CO,4.586193335698542,445.563,71799.99999999999,0.42453469626367735
CCC(O)C(O),CCC(O)CO,4.675549222976128,451.529,71799.99999999999,0.4026756558689142
CCC(O)C(O),CCC(O)CO,4.762055553310996,457.519,71799.99999999999,0.38043765109634897
CCC(O)C(O),CCC(O)CO,4.845841907421757,463.536,71799.99999999999,0.3578190113022979
CCC(O)C(O),CCC(O)CO,5.005716612413731,469.575,71799.99999999999,0.4136415332130925
CCC(O)C(O),CCC(O)CO,5.082030981267012,475.641,71799.99999999999,0.388098461768176
CCC(O)C(O),CCC(O)CO,5.156094630639427,481.736,71799.99999999999,0.36240131026690303
CCC(O)C(O),CCC(O)CO,5.227938097369417,487.855,71799.99999999999,0.33659861153825155
CCC(O)C(O),CCC(O)CO,5.297738631732803,494.005,71799.99999999999,0.3106956915692356
