ikey,dG_hyd_meta37
AAEVYOVXGOFMJO-UHFFFAOYSA-N,-8.761235228391673
AAOVKJBEBIDNHE-UHFFFAOYSA-N,-9.495085714152012
AAPVQEMYVNZIOO-UHFFFAOYSA-N,-12.90354715589562
ABDKAPXRBAPSQN-UHFFFAOYSA-N,-0.060957992858648335
ABIUHPWEYMSGSR-UHFFFAOYSA-N,-22.67827279338407
ABVVEAHYODGCLZ-UHFFFAOYSA-N,-3.2953064628671824
ABYGSZMCWVXFCQ-UHFFFAOYSA-N,3.235239975087958
ACBMYYVZWKYLIP-UHFFFAOYSA-N,-4.360599556136064
ACCHWUWBKYGKNM-UHFFFAOYSA-N,-9.043078107990851
ACGUYXCXAPNIKK-UHFFFAOYSA-N,-14.757124983402841
ACRXLLXANWELLX-UHFFFAOYSA-N,-9.130138107476888
ACUZDYFTRHEKOS-UHFFFAOYSA-N,-4.360599556136064
ACWBQPMHZXGDFX-UHFFFAOYSA-N,-22.011934765946087
ACYHSTUWOQNWCX-UHFFFAOYSA-N,3.250047173595053
ACYOLKMEHHTLAB-UHFFFAOYSA-N,-5.74137019863738
ADAKRBAJFHTIEW-UHFFFAOYSA-N,-3.024268579572178
ADDQHLREJDZPMT-UHFFFAOYSA-N,-6.400165220067684
ADEBPBSSDYVVLD-UHFFFAOYSA-N,-14.284317798396938
ADIMAYPTOBDMTL-UHFFFAOYSA-N,-10.61481305589889
ADRYPAGQXFMVFP-UHFFFAOYSA-N,-1.819280531986677
ADZSGNDOZREKJK-UHFFFAOYSA-N,-7.917813690238093
AEKSGHBVWJHELW-UHFFFAOYSA-N,-3.799491404526799
AEMFNILZOJDQLW-UHFFFAOYSA-N,-8.096413411801436
AEMRFAOFKBGASW-UHFFFAOYSA-N,-8.123069403344157
AETAPIFVELRIDN-UHFFFAOYSA-N,-4.140089320721886
AEXMKKGTQYQZCS-UHFFFAOYSA-N,2.5432536563705206
AFABGHUZZDYHJO-UHFFFAOYSA-N,2.457441651238806
AFBPFSWMIHJQDM-UHFFFAOYSA-N,-4.648180862978673
AFFLGGQVNFXPEV-UHFFFAOYSA-N,2.7571377351847484
AFIIBUOYKYSPKB-UHFFFAOYSA-N,-8.34558184786655
AFOSIXZFDONLBT-UHFFFAOYSA-N,-3.787616539837474
AFOVQGPNOZDUEP-UHFFFAOYSA-N,-3.8766182390366697
AFTPEBDOGXRMNQ-UHFFFAOYSA-N,3.48573951285571
AFTSHZRGGNMLHC-UHFFFAOYSA-N,0.7703487681915995
AFVFQIVMOAPDHO-UHFFFAOYSA-N,-0.060957992858648335
AFYPFACVUDMOHA-UHFFFAOYSA-N,2.1755987716396277
AFZSMODLJJCVPP-UHFFFAOYSA-N,-15.249435060373132
AFZZYIJIWUTJFO-UHFFFAOYSA-N,-0.6783806750946683
AGDYNDJUZRMYRG-UHFFFAOYSA-N,-1.8266234240471582
AGEZXYOZHKGVCM-UHFFFAOYSA-N,-0.8121911760206133
AGKSTYPVMZODRV-QJOMJCCJSA-N,-7.910335705544137
AGKSTYPVMZODRV-UHFFFAOYSA-N,-13.681231385368179
AGPTXRLVBIRYLV-UHFFFAOYSA-N,-4.084266617943749
