ikey,dHvap_kJmol
AAADKYXUTOBAGS-UHFFFAOYSA-N,55.50000000000001
AAAIZLQILBFRTJ-UHFFFAOYSA-N,175.52035759821638
AAAQKTZKLRYKHR-UHFFFAOYSA-N,94.30000000000004
AAAXMNYUNVCMCJ-UHFFFAOYSA-N,54.10000000000001
AABTWRKUKUPMJG-UHFFFAOYSA-N,37.94445154476683
ABDKAPXRBAPSQN-UHFFFAOYSA-N,65.19999999999999
ABGXADJDTPFFSZ-UHFFFAOYSA-N,74.2
ABHHLNIVRZCBKH-UHFFFAOYSA-N,142.8929809890093
ABPBVCKGWWGZDP-UHFFFAOYSA-N,36.5
ABYGSZMCWVXFCQ-UHFFFAOYSA-N,48.500000000000014
ACBMYYVZWKYLIP-UHFFFAOYSA-N,62.89999999999997
ACKALUBLCWJVNB-UHFFFAOYSA-N,58.999999999999986
ACMBVSPXQQUNOF-UHFFFAOYSA-N,118.1785237345447
ACOBBFVLNKYODD-UHFFFAOYSA-N,57.58808826404894
ACUZDYFTRHEKOS-UHFFFAOYSA-N,75.87467576872723
ACWQBUSCFPJUPN-UHFFFAOYSA-N,41.4431310294455
ACYHSTUWOQNWCX-UHFFFAOYSA-N,46.9
ACYQYBAHTSKBLM-UHFFFAOYSA-N,15.599999999999996
ADGYLICVEHSKBQ-UHFFFAOYSA-N,31.657671245159097
ADHCYQWFCLQBFG-UHFFFAOYSA-N,34.3
ADKOKWOWUJDRJK-UHFFFAOYSA-N,28.20916197954116
ADNADZOSMJDVIS-UHFFFAOYSA-N,53.21427520708681
ADOBXTDBFNCOBN-UHFFFAOYSA-N,89.82915569758609
ADPIJPFGLVDJEK-UHFFFAOYSA-N,34.15707479923926
ADSOSINJPNKUJK-UHFFFAOYSA-N,51.69661512333643
AEBWATHAIVJLTA-UHFFFAOYSA-N,42.63919262451898
AEHWKBXBXYNPCX-UHFFFAOYSA-N,56.40000000000001
AEIJTFQOBWATKX-UHFFFAOYSA-N,89.02609831305121
AEIOZWYBDBVCGW-UHFFFAOYSA-N,62.699999999999974
AEKVBBNGWBBYLL-UHFFFAOYSA-N,51.8
AERQHTTXGFFYIB-UHFFFAOYSA-N,29.175144345531617
AEXMKKGTQYQZCS-UHFFFAOYSA-N,33.00000000000001
AFABGHUZZDYHJO-UHFFFAOYSA-N,29.839776011658905
AFELDWXNIFIYOC-UHFFFAOYSA-N,74.99046868170875
AFFLGGQVNFXPEV-UHFFFAOYSA-N,49.47926590768803
AFGNVSCTEXUEJE-UHFFFAOYSA-N,118.2649664029562
AFMVESZOYKHDBJ-UHFFFAOYSA-N,91.6
AFOSIXZFDONLBT-UHFFFAOYSA-N,56.5
AFTPEBDOGXRMNQ-UHFFFAOYSA-N,40.70000000000001
AFTSHZRGGNMLHC-UHFFFAOYSA-N,26.70617029262124
AFVDZBIIBXWASR-UHFFFAOYSA-N,34.70953427078582
AFYPFACVUDMOHA-UHFFFAOYSA-N,15.42667361672566
AFZZYIJIWUTJFO-UHFFFAOYSA-N,52.5
AGEZXYOZHKGVCM-UHFFFAOYSA-N,52.5
AGITVGTVVWLRGX-UHFFFAOYSA-N,108.60000000000002
AGQOIYCTCOEHGR-UHFFFAOYSA-N,39.70000000000001
AGWFDZMDKNQQHG-UHFFFAOYSA-N,44.5
AGZPNUZBDCYTBB-UHFFFAOYSA-N,79.10000000000002
AHAREKHAZNPPMI-UHFFFAOYSA-N,32.57687212823704
AHHWIHXENZJRFG-UHFFFAOYSA-N,29.800000000000008
AIJFZFPWACJMNR-UHFFFAOYSA-N,185.0272768934991
AILKHAQXUAOOFU-UHFFFAOYSA-N,46.147508499198814
AILVYPLQKCQNJC-UHFFFAOYSA-N,51.42756106404481
AIMREYQYBFBEGQ-UHFFFAOYSA-N,42.7
AIPJZPPOFWCJRC-UHFFFAOYSA-N,21.265535659156484
AIQLNKITFBJPFO-UHFFFAOYSA-N,56.11988572155145
AISQJRLSHDWVGU-UHFFFAOYSA-N,166.5263365838059
AIUUAKHKOQFCKF-UHFFFAOYSA-N,43.1454733752307
AIZNASPCDNJRSP-UHFFFAOYSA-N,38.18749643941542
AJDIFHIHSYVDGP-UHFFFAOYSA-N,45.99999999999999
AJDIZQLSFPQPEY-UHFFFAOYSA-N,28.300000000000004
AJKVQEKCUACUMD-UHFFFAOYSA-N,60.50000000000002
AJPGNQYBSTXCJE-UHFFFAOYSA-N,40.70000000000001
AJUXDFHPVZQOGF-UHFFFAOYSA-N,66.89999999999999
AKCRQHGQIJBRMN-UHFFFAOYSA-N,56.8
AKHMHYGTZRJYBS-UHFFFAOYSA-N,43.50000000000001
AKMSQWLDTSOVME-UHFFFAOYSA-N,62.73173528967619
AKOJBFZCIRFXBA-UHFFFAOYSA-N,42.17306116575656
AKQAJYLKBCWJBV-UHFFFAOYSA-N,73.80000000000001
ALLIZEAXNXSFGD-UHFFFAOYSA-N,66.79999999999997
ALOUNLDAKADEEB-UHFFFAOYSA-N,86.39999999999996
