ikey,raw_mean,raw_median,n_obs,homoset_Ladaptive_noise25,homoset_Ladaptive_noise50,homoset_L0.6_noise25,homoset_L0.6_noise50,conflict,n_sources,n_accepted_sources,fell_back_raw,mixle_gauss,mixle_gauss_sd,mixle_robust,mixle_robust_sd,min_obs_weight,expt,d_expt
ABDKAPXRBAPSQN-UHFFFAOYSA-N,-4.743637026533558,-4.743637026533558,1,-4.9451394775444255,-4.9451394775444255,-4.743637026533558,-4.743637026533558,False,1,1,False,-5.630400281770859,2.338096976739336,-5.287118603028614,1.1501795424886763,1.0,-5.33,0.1
AEXMKKGTQYQZCS-UHFFFAOYSA-N,2.6721132071681137,2.5598446142726567,6,2.55831080426064,2.55831080426064,2.56,2.56,False,3,3,False,2.4801107246309324,0.22979311199436306,2.5573383646823302,0.027929969590393407,1.0,2.56,0.6
AFABGHUZZDYHJO-UHFFFAOYSA-N,2.488216639064396,2.52,15,2.5150014567453494,2.5150014567453494,2.52,2.52,False,4,4,False,2.495427996724145,0.10196264805739945,2.517029573469391,0.009471491163926546,0.8535286692488554,2.51,0.6
AFBPFSWMIHJQDM-UHFFFAOYSA-N,-4.689092347574606,-4.691585058135947,4,-4.692837779243138,-4.692837779243138,-4.6850000000000005,-4.6850000000000005,False,2,2,False,-4.700785975410315,0.17498854497175553,-4.685672037436874,0.0199964438966827,1.0,-4.69,0.6
AGDYNDJUZRMYRG-UHFFFAOYSA-N,-1.5393126843342586,-1.6571099287303148,3,-1.6596153709446977,-1.6596153709446977,-1.6571099287303148,-1.6571099287303148,False,2,2,False,-2.096449280146363,0.7409958743451516,-1.7641174263259458,0.23797858747621523,1.0,-1.66,0.1
AJDIZQLSFPQPEY-UHFFFAOYSA-N,1.4971033260844968,1.650164829891767,16,1.548160883279142,1.548160883279142,1.77,1.77,True,4,4,False,1.6747500797752402,0.12234553740643463,1.77182264065778,0.01280618315573219,0.44154329966110106,1.77,0.6
AKCRQHGQIJBRMN-UHFFFAOYSA-N,-4.96283869711148,-4.989001003537995,3,-4.9915064457523775,-4.9915064457523775,-4.91,-4.91,False,2,2,False,-4.94596351562511,0.241266949270334,-4.912169852355315,0.02811919357223881,1.0,-4.91,0.6
AMIMRNSIRUDHCM-UHFFFAOYSA-N,-2.0671294147615074,-1.9291191535878711,23,-2.861604145866383,-1.953992870879836,-2.86,-2.86,True,4,4,False,-2.9270072192239396,0.22557736366993425,-2.8558404369596304,0.02802092965077042,1.0,-2.86,0.6
AMQJEAYHLZJPGS-UHFFFAOYSA-N,-2.866689986816283,-4.467382354189102,30,-4.47,-4.469887796403484,-4.47,-4.47,True,5,5,False,-4.210138812234039,0.08793546534888577,-4.477119917334889,0.008883530537419035,0.0013619738745059519,-4.57,0.6
ANOOTOPTCJRUPK-UHFFFAOYSA-N,0.08103242878425815,0.08103242878425815,2,0.07977970767706676,0.07977970767706676,0.08,0.08,False,2,2,False,0.04594875117070518,0.24723336564865578,0.0791946626455655,0.02819198895385673,1.0,0.08,0.6
AOGQPLXWSUTHQB-UHFFFAOYSA-N,-2.290634257635892,-2.2633843212237093,9,-2.2633843212237093,-2.2633843212237093,-2.2616921606118545,-2.2616921606118545,False,5,5,False,-2.282884161121206,0.13545410799048868,-2.262234566084803,0.014121453887871277,1.0,-2.26,0.6
APQSQLNWAIULLK-UHFFFAOYSA-N,-2.749101867090355,-2.82,7,-2.82,-2.82,-2.82,-2.82,False,3,3,False,-2.8207602017905913,0.13382769905314287,-2.8225997478094835,0.011578301135552728,0.9572975023224616,-2.82,0.6
AQIXEPGDORPWBJ-UHFFFAOYSA-N,-4.322750059889196,-4.35,13,-4.35,-4.35,-4.35,-4.35,False,3,3,False,-4.348463727171303,0.10199333589645869,-4.344290547872828,0.008836128822055648,0.8386936156100571,-4.35,0.6
AQXYVFBSOOBBQV-UHFFFAOYSA-N,-7.1019142436797384,-7.1019142436797384,2,-7.203918190292364,-7.203918190292364,-7.1019142436797384,-7.1019142436797384,True,2,2,False,-10.939490529298249,0.9989588786409557,-12.218451922059803,0.3451313853955899,0.08882042518872707,-9.53,0.28
ASHGTJPOSUFTGB-UHFFFAOYSA-N,-7.431011747397384,-7.667029053964164,4,-7.668281775071355,-7.668281775071355,-7.66,-7.66,True,3,3,False,-7.681654172707617,0.24042820001778728,-7.661063944429249,0.028093973159945544,1.0,-7.66,0.6
