ikey,raw_mean,raw_median,n_obs,homoset_Ladaptive_t2.0,homoset_Ladaptive_t1.0,homoset_Lfixed_t2.0,homoset_Lfixed_t1.0,conflict,n_sources,n_accepted_sources,fell_back_raw,mixle_gauss,mixle_gauss_sd,mixle_robust,mixle_robust_sd,min_obs_weight
AAEVYOVXGOFMJO-UHFFFAOYSA-N,-8.540852058105454,-8.540852058105454,2,-8.642856004718078,-8.642856004718078,-8.540852058105454,-8.540852058105454,False,2,2,False,-8.714021456008307,0.9989588786409557,-8.654077408373604,0.329902427358527,1.0
AAHYHBHESZMGBO-UHFFFAOYSA-N,-8.768728059239894,-8.768728059239894,2,-8.87073200585252,-8.87073200585252,-8.768728059239894,-8.768728059239894,False,2,2,False,-8.9409479856677,0.9989588786409557,-8.896885643343676,0.32983131120082,1.0
AAPVQEMYVNZIOO-NYQGKTAPSA-N,-6.652980241438177,-6.652980241438177,1,-6.65548568365256,-6.65548568365256,-6.652980241438177,-6.652980241438177,False,1,1,False,-6.806688223269987,1.064785492392406,-6.731185677640401,0.3428402626788721,1.0
ABDKAPXRBAPSQN-UHFFFAOYSA-N,-4.743637026533558,-4.743637026533558,1,-4.9451394775444255,-4.9451394775444255,-4.743637026533558,-4.743637026533558,False,1,1,False,-5.630400281770859,2.338096976739336,-5.287118603028614,1.1501795424886763,1.0
ABJMOQGYYKQSRR-UHFFFAOYSA-N,-4.938787929095227,-4.938787929095227,1,-5.140290380106094,-5.140290380106094,-4.938787929095227,-4.938787929095227,False,1,1,False,-5.758495685944801,2.338096976739336,-5.46787612099205,1.1502936892957916,1.0
ABRDPORILGADAP-UHFFFAOYSA-N,-3.1572341139225024,-3.1572341139225024,1,-3.35873656493337,-3.35873656493337,-3.1572341139225024,-3.1572341139225024,False,1,1,False,-4.589098808879045,2.338096976739336,-3.8176506345278978,1.1503977363460023,1.0
ABYZYVAIOYICJQ-UHFFFAOYSA-N,-2.6115353797332084,-2.6115353797332084,1,-2.8130378307440758,-2.8130378307440758,-2.6115353797332084,-2.6115353797332084,False,1,1,False,-4.230906768793056,2.338096976739336,-3.312287772373129,1.1509459426138602,1.0
ACBMYYVZWKYLIP-UHFFFAOYSA-N,-3.822245358436735,-3.822245358436735,1,-4.0237478094476025,-4.0237478094476025,-3.822245358436735,-3.822245358436735,False,1,1,False,-5.025606573014793,2.338096976739336,-4.4336231249696025,1.1500578535061388,1.0
ADZSGNDOZREKJK-UHFFFAOYSA-N,-7.625407515039874,-7.625407515039874,1,-7.826909966050741,-7.826909966050741,-7.625407515039874,-7.625407515039874,False,1,1,False,-7.521970090653013,2.338096976739336,-7.954318258221999,1.1550718485824185,1.0
AEMRFAOFKBGASW-UHFFFAOYSA-N,0.324988349789156,2.6308170258021764,5,2.6059433085102115,2.6059433085102115,2.6308170258021764,2.6308170258021764,True,2,2,False,-5.439464859076214,0.8520795726550416,2.126863109702214,0.6190515911736645,0.00542559272257086
AEXMKKGTQYQZCS-UHFFFAOYSA-N,2.6721132071681137,2.5598446142726567,6,2.55831080426064,2.55831080426064,2.56,2.56,False,3,3,False,2.4801107246309324,0.22979311199436306,2.5573383646823302,0.027929969590393407,1.0
AFABGHUZZDYHJO-UHFFFAOYSA-N,2.488216639064396,2.52,15,2.5150014567453494,2.5150014567453494,2.52,2.52,False,4,4,False,2.495427996724145,0.10196264805739945,2.517029573469391,0.009471491163926546,0.8535286692488554
AFBPFSWMIHJQDM-UHFFFAOYSA-N,-4.689092347574606,-4.691585058135947,4,-4.692837779243138,-4.692837779243138,-4.6850000000000005,-4.6850000000000005,False,2,2,False,-4.700785975410315,0.17498854497175553,-4.685672037436874,0.0199964438966827,1.0
AFFLGGQVNFXPEV-UHFFFAOYSA-N,2.782493889437403,2.782493889437403,1,2.7799884472230203,2.7799884472230203,2.782493889437403,2.782493889437403,False,1,1,False,1.9563873568922363,1.064785492392406,2.6423305886426713,0.3434694233826059,1.0
AFIIBUOYKYSPKB-UHFFFAOYSA-N,3.573826115345826,3.573826115345826,1,3.3723236643349583,3.3723236643349583,3.573826115345826,3.573826115345826,False,1,1,False,-0.17088772571580196,2.338096976739336,2.3918211834153187,1.1758370451419808,1.0
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,-7.619275719227651,-7.619275719227651,1,-7.820778170238518,-7.820778170238518,-7.619275719227651,-7.619275719227651,False,1,1,False,-7.517945231671741,2.338096976739336,-7.948650255890229,1.1550539366729755,1.0
AFRRABLGSIKEJZ-UHFFFAOYSA-N,-9.783107385071425,-9.783107385071425,1,-9.785612827285808,-9.785612827285808,-9.783107385071425,-9.783107385071425,False,1,1,False,-9.713753661075394,1.064785492392406,-9.840762863369855,0.3431193713066545,1.0
AFVFQIVMOAPDHO-UHFFFAOYSA-N,-18.11883709404867,-18.11883709404867,1,-18.143710811340632,-18.143710811340632,-18.11883709404867,-18.11883709404867,False,1,1,False,-14.464827670344084,2.3144362994044885,-17.130662622438912,1.300684700353907,1.0
AFYPFACVUDMOHA-UHFFFAOYSA-N,2.386046175272125,2.3893331798023385,9,2.386827737587956,2.386827737587956,2.5219502868068835,2.5219502868068835,False,4,4,False,2.437839725125762,0.204990097268742,2.5197779608985065,0.019946185409969203,1.0
AFZZYIJIWUTJFO-UHFFFAOYSA-N,1.5961342935258587,1.5961342935258587,2,1.4941303469132334,1.4941303469132334,1.5961342935258587,1.5961342935258587,True,2,2,False,-0.7650817946914777,0.9989588786409557,-0.6532868260797581,0.34001288857158896,0.39995302894694995
AGDYNDJUZRMYRG-UHFFFAOYSA-N,-1.5393126843342586,-1.6571099287303148,3,-1.6596153709446977,-1.6596153709446977,-1.6571099287303148,-1.6571099287303148,False,2,2,False,-2.096449280146363,0.7409958743451516,-1.7641174263259458,0.23797858747621523,1.0
AGKSTYPVMZODRV-UHFFFAOYSA-N,-10.975603955990195,-10.975603955990195,2,-11.077607902602821,-11.077607902602821,-10.975603955990195,-10.975603955990195,False,2,2,False,-11.02307794794498,0.9989588786409557,-11.107043142581484,0.3298064203270237,1.0
AGYUOJIYYGGHKV-UHFFFAOYSA-N,-6.020807292109229,-6.020807292109229,1,-6.0233127343236115,-6.0233127343236115,-6.020807292109229,-6.020807292109229,False,1,1,False,-6.219565704797291,1.064785492392406,-6.103153391585668,0.3428134307442383,1.0
AHBGIHFKTBTQJP-UHFFFAOYSA-N,-1.7858059419640189,-1.7734729672794445,5,-1.7759784094938273,-1.7759784094938273,-1.7734729672794445,-1.7734729672794445,False,1,1,False,-2.125553935000857,0.4903697138871467,-1.8806027059870085,0.1542874393330347,1.0
AHHWIHXENZJRFG-UHFFFAOYSA-N,-4.084692368524275,-4.084692368524275,1,-4.087197810738657,-4.087197810738657,-4.084692368524275,-4.084692368524275,False,1,1,False,-4.4214238020246155,1.064785492392406,-4.17971299707008,0.3427926524656494,1.0
AHTPATJNIAFOLR-UHFFFAOYSA-N,-15.436764898441147,-15.436764898441147,1,-15.638267349452015,-15.638267349452015,-15.436764898441147,-15.436764898441147,False,1,1,False,-12.64927910147196,2.338096976739336,-15.100575480503826,1.2117347340667846,1.0
AIGRXSNSLVJMEA-UHFFFAOYSA-N,-6.408894238791358,-6.408894238791358,2,-6.510898185403983,-6.510898185403983,-6.408894238791358,-6.408894238791358,False,2,2,False,-6.749982060871938,0.9989588786409557,-6.576830547940437,0.3298001345392269,1.0
AIJULSRZWUXGPQ-UHFFFAOYSA-N,-7.448183236013065,-6.76383261650711,7,-6.788706333799075,-6.788706333799075,-6.76383261650711,-6.76383261650711,True,2,2,False,-7.745978312029712,0.7844655683888064,-7.02394242781658,0.2969055775762043,0.6242423171134862
AIKKULXCBHRFOS-UHFFFAOYSA-N,-11.236021635283532,-11.236021635283532,2,-11.338025581896156,-11.338025581896156,-11.236021635283532,-11.236021635283532,False,2,2,False,-11.19864654948428,0.9989588786409557,-11.281803550542055,0.3300909071153804,1.0
AIURIRUDHVDRFQ-UHFFFAOYSA-N,-1.4440375530003715,-1.4440375530003715,2,-1.4465429952147542,-1.4465429952147542,-1.4440375530003715,-1.4440375530003715,False,1,1,False,-1.8589444743660621,0.7667002409729788,-1.5486269327605842,0.2518649614653999,1.0
AJDIZQLSFPQPEY-UHFFFAOYSA-N,1.4971033260844968,1.650164829891767,16,1.548160883279142,1.548160883279142,1.77,1.77,False,4,4,False,1.6747500797752402,0.12234553740643463,1.77182264065778,0.01280618315573219,0.44154329966110106
AJDXXCWZGWECKS-UHFFFAOYSA-N,-4.966355513129603,-4.966355513129603,1,-4.9688609553439855,-4.9688609553439855,-4.966355513129603,-4.966355513129603,False,1,1,False,-5.240257139412298,1.064785492392406,-5.05560498022015,0.34279064317875524,1.0
AKCRQHGQIJBRMN-UHFFFAOYSA-N,-4.96283869711148,-4.989001003537995,3,-4.9915064457523775,-4.9915064457523775,-4.91,-4.91,False,2,2,False,-4.94596351562511,0.241266949270334,-4.912169852355315,0.02811919357223881,1.0
AKNQMEBLVAMSNZ-UHFFFAOYSA-O,-11.332528838156183,-11.332528838156183,2,-11.434532784768807,-11.434532784768807,-11.332528838156183,-11.332528838156183,False,2,2,False,-11.321331355155023,0.9989588786409557,-11.417392706085767,0.3299388587535043,1.0
AKQMZZOTFNLAQJ-UHFFFAOYSA-N,4.105268696509391,4.105268696509391,1,3.903766245498524,3.903766245498524,4.105268696509391,4.105268696509391,False,1,1,False,0.1779466959332489,2.338096976739336,2.8779864186072985,1.1798639948825722,1.0
ALDJIKXAHSDLLB-UHFFFAOYSA-N,-2.500599792075139,-2.312806244254234,5,-2.3828820002266093,-2.3828820002266093,-2.312806244254234,-2.312806244254234,False,2,2,False,-2.93353197985234,0.5376371592020696,-2.6983184945340497,0.1923780663722138,0.7956550529500637
ALFHIHDQSYXSGP-UHFFFAOYSA-N,-2.5757555026938284,-2.7932041393864777,3,-2.7957095816008604,-2.7957095816008604,-2.7932041393864777,-2.7932041393864777,False,2,2,False,-3.2753715676479445,0.7409958743451516,-3.0005437958314003,0.241542800361011,1.0
ALNQITUAXHHTHH-UHFFFAOYSA-N,-12.804959711460564,-12.804959711460564,2,-12.906963658073188,-12.906963658073188,-12.804959711460564,-12.804959711460564,False,2,2,False,-13.195333077870144,0.9989588786409557,-13.480475251183268,0.33426013214845246,1.0
ALVPFGSHPUPROW-UHFFFAOYSA-N,-1.3083347762698687,-1.3083347762698687,1,-1.5098372272807363,-1.5098372272807363,-1.3083347762698687,-1.3083347762698687,False,1,1,False,-3.3754968996657024,2.338096976739336,-2.106085826517005,1.1532536929255393,1.0
AMEKQAFGQBKLKX-UHFFFAOYSA-N,-12.773779392071582,-12.773779392071582,1,-12.776284834285965,-12.776284834285965,-12.773779392071582,-12.773779392071582,False,1,1,False,-12.491301929376974,1.064785492392406,-12.811666050602383,0.34361664825088833,1.0
AMFGTOFWMRQMEM-UHFFFAOYSA-N,-7.921775527217299,-7.921775527217299,1,-7.924280969431682,-7.924280969431682,-7.921775527217299,-7.921775527217299,False,1,1,False,-7.985065571436612,1.064785492392406,-7.991662812654906,0.34292398612402086,1.0
AMIMRNSIRUDHCM-UHFFFAOYSA-N,-2.0671294147615074,-1.9291191535878711,23,-1.953992870879836,-1.953992870879836,-2.86,-2.86,False,4,4,False,-2.9270072192239396,0.22557736366993425,-2.8558404369596304,0.02802092965077042,1.0
AMQJEAYHLZJPGS-UHFFFAOYSA-N,-2.866689986816283,-4.467382354189102,30,-4.469887796403484,-4.469887796403484,-4.47,-4.47,True,5,5,False,-4.210138812234039,0.08793546534888577,-4.477119917334889,0.008883530537419035,0.0013619738745059519
AMVYOVYGIJXTQB-UHFFFAOYSA-N,-15.072107342559873,-15.072107342559873,1,-15.27360979357074,-15.27360979357074,-15.072107342559873,-15.072107342559873,False,1,1,False,-12.40992096173221,2.338096976739336,-14.772595764423233,1.207091899183512,1.0
